claim_id;Event_type;Period_EvCl;Period_StEv;Policy_agent_cat;Owner_type;FLAG_Owner_bl;Insurer_type;FLAG_Insurer_bl;Policy_KBM;Policy_KS;Policy_KT;Policy_KVS;FLAG_Policy_KO;FLAG_Policy_KP;FLAG_Policy_KPR;FLAG_Policy_type;VEH_age;VEH_aim_use;VEH_capacity_type;VEH_model;VEH_type_name;FLAG_bad_region;FLAG_dsago;FLAG_prolong;Owner_region;Sales_channel;Policy_loss_count;Damage_count;bad;Claim_type;FLAG_trial
6091/133/00060/17;Классика;196;292;0,060013984565045;Юридическое Лицо;0;Юридическое Лицо;0;0,5;1;1,4;1;1;1;0;0;6;Личные;3;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;1;Пензенская область;Собственные продажи;0;1;0;0;0
8023/PVU/00265/17;ПВУ СП;59;361;;Физическое Лицо;0;Физическое Лицо;0;1;1;1;1;0;1;0;0;18;Личные;5;NISSAN PRIMERA;Легковой;1;0;0;Ростовская область;Агенты и РБ;0;1;0;1;1
4392/PVU/01330/17;ПВУ СП;27;345;0,072320678732599;Физическое Лицо;0;Физическое Лицо;0;1;1;1,8;1;0;1;0;0;8;Личные;4;OPEL ASTRA;Легковой;0;0;1;Свердловская область;Фронт-офис;0;1;0;0;0
0890/PVU/01462/17;ПВУ СП;5;359;0,079869875190784;Юридическое Лицо;0;Юридическое Лицо;0;1;1;2;1;1;1;0;0;4;Личные;5;PEUGEOT 308;Легковой;0;0;0;Москва;Агенты и РБ;0;1;0;0;0
5641/133/00703/17;Классика;18;337;0,11915094933231;Физическое Лицо;1;Физическое Лицо;1;1;0,7;1,7;1;1;1;0;1;3;Личные;3;RENAULT LOGAN;Легковой;0;0;0;Новосибирская область;Фронт-офис;2;1;0;0;0
8712/PVU/00086/17;ПВУ СП;16;325;0,048746077092038;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,3;1;0;1;0;1;3;Личные;4;SKODA YETI;Легковой;0;0;0;Красноярский край;Автодилеры;0;1;0;1;0
4891/PVU/00041/17;ПВУ СП;7;310;0,019079802125969;Юридическое Лицо;0;Юридическое Лицо;0;0,85;1;1,3;1;1;1;0;0;4;Прочие;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;1;Республика Бурятия;ДКК;0;1;0;1;0
8292/PVU/00495/17;ПВУ СП;2;308;0,087641344852024;Физическое Лицо;0;Физическое Лицо;0;0,9;1;0,9;1;0;1;0;0;15;Личные;4;ДРУГОЕ ТС ДРУГОЕ ТС ЛЕГКОВОЙ;Легковой;0;0;0;Сахалинская область;Агенты и РБ;0;1;0;0;0
6592/PVU/00762/17;ПВУ СП;5;313;0,021575446555957;Физическое Лицо;0;Физическое Лицо;0;0,95;1;1,5;1;0;1;0;0;6;Личные;6;AUDI A7;Легковой;0;0;0;Самарская область;Автодилеры;0;1;0;0;1
7517/133/00048/17;Классика;25;279;0,061194735689969;Юридическое Лицо;0;Юридическое Лицо;0;0,55;1;1,1;1;1;1;1;0;9;Личные;7;ДРУГОЕ ТС ДРУГОЕ ТС ГРУЗОВОЙ;Грузовой более 16;0;0;1;Ханты-Мансийский автономный округ - Югра;Собственные продажи;0;1;0;1;0
5892/PVU/01187/17;ПВУ СП;6;299;0,097897275795074;Физическое Лицо;0;Физическое Лицо;0;1;1;1,6;1,7;0;1;0;0;16;Личные;4;NISSAN SUNNY;Легковой;0;0;0;Омская область;Агенты и РБ;0;1;0;2;0
7514/133/00581/17;Классика;51;238;0,10937678910243;Физическое Лицо;0;Физическое Лицо;0;1;1;1,7;1,8;0;1;0;0;0;Личные;4;VOLKSWAGEN POLO;Легковой;0;0;0;Ямало-Ненецкий автономный округ;Автодилеры;0;1;0;1;0
